City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
148,Dunedin,NZ,45.59,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
149,Mar Del Plata,AR,53.1,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
150,Kaitangata,NZ,45.46,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
153,Olafsvik,IS,52.79,light rain,64.8945,-23.7142,Hotel Olafsvik
156,Tuatapere,NZ,45.32,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
157,Rocha,UY,60.64,broken clouds,-34.4833,-54.3333,Hotel Arrarte
160,Norman Wells,CA,57.24,few clouds,65.282,-126.8329,Heritage Hotel
161,Cidreira,BR,60.35,few clouds,-30.1811,-50.2056,Hotel Castelo
167,La Sarre,CA,58.15,overcast clouds,48.8002,-79.1996,Motel Villa Mon Repos
179,Beringovskiy,RU,47.53,light rain,63.05,179.3167,
180,Waitati,NZ,45.46,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
181,Sioux Lookout,CA,60.87,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
182,Pisco,PE,60.85,mist,-13.7,-76.2167,Hotel San Isidro Oficial
183,Stornoway,GB,51.93,broken clouds,58.2093,-6.3865,Caladh Inn
184,Pacifica,US,62.71,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
197,Vandoeuvre-Les-Nancy,FR,62.28,broken clouds,48.65,6.1833,La Residence
201,Codrington,AU,56.32,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
207,Sitka,US,60.69,broken clouds,57.0531,-135.33,Westmark Sitka
208,Haileybury,CA,61.38,overcast clouds,47.449,-79.6373,Haileybury Beach Motel
212,Narsaq,GL,50.22,scattered clouds,60.9167,-46.05,Sleep In Narsaq
213,Zyryanka,RU,63.55,scattered clouds,65.75,150.85,
214,Port Macquarie,AU,63.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
216,Markova,UA,58.73,overcast clouds,48.6758,24.4138,Vas.VOM
218,Raudeberg,NO,48.96,broken clouds,61.9875,5.1352,Nordre Silda.
224,Ayan,RU,60.78,broken clouds,56.45,138.1667,Gostinitsa
226,Antofagasta,CL,56.48,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
231,Deputatskiy,RU,63.36,broken clouds,69.3,139.9,Baza Otdykha
233,Paita,PE,63.39,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
240,Kindberg,AT,64.15,overcast clouds,47.5,15.45,Pension Ehrenfried - Hotel Garni
