City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
128,Roma,US,43.2128,-75.4557,61.66,93,0,0.0,clear sky
129,Poso,ID,-1.3959,120.7524,82.11,85,93,3.78,overcast clouds
130,Tiksi,RU,71.6872,128.8694,55.35,72,83,4.38,broken clouds
131,Rio Grande,BR,-32.035,-52.0986,59.95,97,26,10.18,scattered clouds
132,Chokurdakh,RU,70.6333,147.9167,62.11,29,44,11.95,scattered clouds
133,Wukari,NG,7.85,9.7833,71.11,96,100,6.55,light rain
134,Shiraz,IR,29.6036,52.5388,87.24,18,40,6.91,scattered clouds
135,Saint-Philippe,RE,-21.3585,55.7679,75.22,82,60,11.63,broken clouds
136,Praia,CV,14.9215,-23.5087,79.34,83,40,4.61,scattered clouds
137,Saldanha,ZA,-33.0117,17.9442,44.65,89,0,6.6,clear sky
138,Bismarck,US,46.8083,-100.7837,66.04,75,20,4.61,few clouds
139,Thompson,CA,55.7435,-97.8558,53.76,94,75,8.05,broken clouds
140,Atar,MR,20.5169,-13.0499,88.72,44,94,10.94,overcast clouds
141,Sur,OM,22.5667,59.5289,86.11,65,63,17.16,broken clouds
142,Maarianhamina,AX,60.0973,19.9348,58.86,88,100,9.22,overcast clouds
143,Grindavik,IS,63.8424,-22.4338,55.35,100,100,19.57,moderate rain
144,Lasa,IT,46.6166,10.7002,65.28,85,100,0.83,overcast clouds
145,Solnechnyy,RU,50.7214,136.6319,72.12,68,94,2.57,overcast clouds
146,Fairbanks,US,64.8378,-147.7164,59.34,54,40,16.11,scattered clouds
147,Shellbrook,CA,53.2168,-106.4011,52.83,76,14,5.32,few clouds
148,Dunedin,NZ,-45.8742,170.5036,45.59,95,100,7.34,overcast clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,53.1,98,100,6.91,fog
150,Kaitangata,NZ,-46.2817,169.8464,45.46,96,100,9.78,moderate rain
151,Banda Aceh,ID,5.5577,95.3222,84.7,69,100,3.58,overcast clouds
152,Imeni Poliny Osipenko,RU,52.4201,136.4853,74.71,59,26,0.92,scattered clouds
153,Olafsvik,IS,64.8945,-23.7142,52.79,97,100,16.49,light rain
154,Torbay,CA,47.6666,-52.7314,66.97,92,100,11.5,overcast clouds
155,Geraldton,AU,-28.7667,114.6,72.01,49,0,13.8,clear sky
156,Tuatapere,NZ,-46.1333,167.6833,45.32,96,100,2.95,light rain
157,Rocha,UY,-34.4833,-54.3333,60.64,97,74,5.61,broken clouds
158,Berbera,SO,10.4396,45.0143,92.43,35,8,30.2,clear sky
159,Zhigansk,RU,66.7697,123.3711,78.66,45,18,2.98,few clouds
160,Norman Wells,CA,65.282,-126.8329,57.24,94,20,2.3,few clouds
161,Cidreira,BR,-30.1811,-50.2056,60.35,94,15,12.1,few clouds
162,Lavrentiya,RU,65.5833,-171.0,44.38,73,58,7.87,broken clouds
163,Te Anau,NZ,-45.4167,167.7167,42.87,96,100,2.17,light rain
164,Saint-Pierre,RE,-21.3393,55.4781,75.29,57,20,3.44,few clouds
165,Mahebourg,MU,-20.4081,57.7,74.25,78,20,5.75,few clouds
166,Cubuk,TR,40.2386,33.0322,71.76,64,0,5.75,clear sky
167,La Sarre,CA,48.8002,-79.1996,58.15,78,97,4.99,overcast clouds
168,Porto Novo,BJ,6.4965,2.6036,78.62,89,100,9.15,overcast clouds
169,Cockburn Town,TC,21.4612,-71.1419,81.1,81,0,18.52,clear sky
170,Awjilah,LY,29.1081,21.2869,84.13,35,5,8.23,clear sky
171,Cayenne,GF,4.9333,-52.3333,76.08,1,20,0.0,few clouds
172,Touros,BR,-5.1989,-35.4608,71.91,90,4,10.6,clear sky
173,Hasaki,JP,35.7333,140.8333,95.29,81,67,20.36,broken clouds
